TC2 scheduled/num_streams 37/60 = 61.67%
k: 3 (100.0, '%', 'unscheduled', 0, 'total', 12, 'e2e too large', [], 'bandwidth violation', [])
 cycle_time: 200us bandwidth: 8928.57bytes k: 2 (67.0, '%', 'unscheduled', 6, 'total', 18, 'e2e too large', [], 'bandwidth violation', [30, 3, 59, 7, 19, 21])
 cycle_time: 40us bandwidth: 1785.71bytes k: 1 (43.0, '%', 'unscheduled', 17, 'total', 30, 'e2e too large', [], 'bandwidth violation', [0, 1, 31, 4, 13, 39, 55, 11, 26, 9, 27, 14, 34, 56, 25, 8, 38])
Stream: id 42 | k_group 2 | q_n 2 | node0_0_0_10->node0_0_0_12 | period 125.0| deadline 125.0 | size 138| injection delay:0['node0_0_0_10', 'sw_0_3', 'sw_0_0', 'sw_0_4', 'sw_0_9', 'node0_0_0_12']['q4', 'q3', 'q4', 'q3']
Stream: id 45 | k_group 2 | q_n 2 | node0_0_0_10->node0_0_0_11 | period 125.0| deadline 125.0 | size 182| injection delay:0['node0_0_0_10', 'sw_0_3', 'sw_0_8', 'sw_0_2', 'node0_0_0_11']['q4', 'q3', 'q4']
Stream: id 47 | k_group 2 | q_n 2 | node0_0_0_10->node0_0_0_12 | period 125.0| deadline 125.0 | size 556| injection delay:0['node0_0_0_10', 'sw_0_3', 'sw_0_6', 'sw_0_9', 'node0_0_0_12']['q4', 'q3', 'q4']
Stream: id 51 | k_group 2 | q_n 2 | node0_0_0_13->node0_0_0_12 | period 125.0| deadline 125.0 | size 564| injection delay:0['node0_0_0_13', 'sw_0_1', 'sw_0_7', 'sw_0_9', 'node0_0_0_12']['q4', 'q3', 'q4']
Stream: id 59 | k_group 2 | q_n 2 | node0_0_0_13->node0_0_0_11 | period 125.0| deadline 125.0 | size 1024| injection delay:0['node0_0_0_13', 'sw_0_1', 'sw_0_7', 'sw_0_2', 'node0_0_0_11']['q4', 'q3', 'q4']
Stream: id 3 | k_group 2 | q_n 2 | node0_0_0_13->node0_0_0_11 | period 250.0| deadline 250.0 | size 1123| injection delay:0['node0_0_0_13', 'sw_0_1', 'sw_0_0', 'sw_0_2', 'node0_0_0_11']['q4', 'q3', 'q4']
Stream: id 5 | k_group 2 | q_n 2 | node0_0_0_10->node0_0_0_13 | period 250.0| deadline 250.0 | size 125| injection delay:0['node0_0_0_10', 'sw_0_3', 'sw_0_0', 'sw_0_1', 'node0_0_0_13']['q4', 'q3', 'q4']
Stream: id 6 | k_group 2 | q_n 2 | node0_0_0_13->node0_0_0_11 | period 250.0| deadline 250.0 | size 121| injection delay:0['node0_0_0_13', 'sw_0_1', 'sw_0_7', 'sw_0_2', 'node0_0_0_11']['q4', 'q3', 'q4']
Stream: id 7 | k_group 2 | q_n 2 | node0_0_0_13->node0_0_0_11 | period 250.0| deadline 250.0 | size 903| injection delay:0['node0_0_0_13', 'sw_0_1', 'sw_0_6', 'sw_0_2', 'node0_0_0_11']['q4', 'q3', 'q4']
Stream: id 18 | k_group 2 | q_n 2 | node0_0_0_10->node0_0_0_11 | period 250.0| deadline 250.0 | size 200| injection delay:0['node0_0_0_10', 'sw_0_3', 'sw_0_8', 'sw_0_2', 'node0_0_0_11']['q4', 'q3', 'q4']
Stream: id 19 | k_group 2 | q_n 2 | node0_0_0_13->node0_0_0_12 | period 250.0| deadline 250.0 | size 776| injection delay:0['node0_0_0_13', 'sw_0_1', 'sw_0_0', 'sw_0_9', 'node0_0_0_12']['q4', 'q3', 'q4']
Stream: id 22 | k_group 3 | q_n 2 | node0_0_0_13->node0_0_0_12 | period 50.0| deadline 50.0 | size 382| injection delay:0['node0_0_0_13', 'sw_0_1', 'sw_0_0', 'sw_0_9', 'node0_0_0_12']['q2', 'q1', 'q2']
Stream: id 23 | k_group 3 | q_n 2 | node0_0_0_13->node0_0_0_12 | period 50.0| deadline 50.0 | size 789| injection delay:0['node0_0_0_13', 'sw_0_1', 'sw_0_0', 'sw_0_9', 'node0_0_0_12']['q2', 'q1', 'q2']
Stream: id 24 | k_group 3 | q_n 2 | node0_0_0_10->node0_0_0_12 | period 50.0| deadline 50.0 | size 155| injection delay:0['node0_0_0_10', 'sw_0_3', 'sw_0_0', 'sw_0_9', 'node0_0_0_12']['q2', 'q1', 'q2']
Stream: id 33 | k_group 3 | q_n 2 | node0_0_0_10->node0_0_0_12 | period 50.0| deadline 50.0 | size 1123| injection delay:0['node0_0_0_10', 'sw_0_3', 'sw_0_0', 'sw_0_9', 'node0_0_0_12']['q2', 'q1', 'q2']
Stream: id 35 | k_group 3 | q_n 2 | node0_0_0_10->node0_0_0_13 | period 50.0| deadline 50.0 | size 125| injection delay:0['node0_0_0_10', 'sw_0_3', 'sw_0_0', 'sw_0_1', 'node0_0_0_13']['q2', 'q1', 'q2']
Stream: id 36 | k_group 3 | q_n 2 | node0_0_0_10->node0_0_0_13 | period 50.0| deadline 50.0 | size 121| injection delay:0['node0_0_0_10', 'sw_0_3', 'sw_0_0', 'sw_0_1', 'node0_0_0_13']['q2', 'q1', 'q2']
Stream: id 37 | k_group 3 | q_n 2 | node0_0_0_10->node0_0_0_13 | period 50.0| deadline 50.0 | size 903| injection delay:0['node0_0_0_10', 'sw_0_3', 'sw_0_0', 'sw_0_1', 'node0_0_0_13']['q2', 'q1', 'q2']
Stream: id 48 | k_group 3 | q_n 2 | node0_0_0_10->node0_0_0_11 | period 50.0| deadline 50.0 | size 200| injection delay:0['node0_0_0_10', 'sw_0_3', 'sw_0_0', 'sw_0_2', 'node0_0_0_11']['q2', 'q1', 'q2']
Stream: id 49 | k_group 3 | q_n 2 | node0_0_0_10->node0_0_0_12 | period 50.0| deadline 50.0 | size 776| injection delay:0['node0_0_0_10', 'sw_0_3', 'sw_0_0', 'sw_0_9', 'node0_0_0_12']['q2', 'q1', 'q2']
Stream: id 52 | k_group 3 | q_n 2 | node0_0_0_13->node0_0_0_12 | period 50.0| deadline 50.0 | size 1382| injection delay:0['node0_0_0_13', 'sw_0_1', 'sw_0_0', 'sw_0_9', 'node0_0_0_12']['q2', 'q1', 'q2']
Stream: id 53 | k_group 3 | q_n 2 | node0_0_0_13->node0_0_0_12 | period 50.0| deadline 50.0 | size 789| injection delay:0['node0_0_0_13', 'sw_0_1', 'sw_0_0', 'sw_0_9', 'node0_0_0_12']['q2', 'q1', 'q2']
Stream: id 54 | k_group 3 | q_n 2 | node0_0_0_13->node0_0_0_12 | period 50.0| deadline 50.0 | size 155| injection delay:0['node0_0_0_13', 'sw_0_1', 'sw_0_0', 'sw_0_9', 'node0_0_0_12']['q2', 'q1', 'q2']
