TC2 scheduled/num_streams 141/260 = 54.23%
k: 3 (100.0, '%', 'unscheduled', 0, 'total', 35, 'e2e too large', [], 'bandwidth violation', [])
 cycle_time: 100us bandwidth: 6250.0bytes k: 2 (78.0, '%', 'unscheduled', 17, 'total', 78, 'e2e too large', [], 'bandwidth violation', [248, 237, 183, 202, 30, 146, 236, 131, 180, 144, 205, 79, 92, 210, 76, 52, 10])
 cycle_time: 50us bandwidth: 3125.0bytes k: 1 (31.0, '%', 'unscheduled', 102, 'total', 147, 'e2e too large', [], 'bandwidth violation', [243, 214, 89, 50, 55, 231, 208, 181, 53, 33, 142, 36, 47, 123, 156, 1, 199, 13, 77, 41, 46, 83, 15, 91, 147, 21, 242, 224, 23, 104, 211, 255, 20, 182, 72, 235, 54, 135, 258, 174, 227, 213, 191, 119, 163, 154, 69, 45, 246, 95, 239, 111, 27, 132, 65, 252, 141, 48, 167, 179, 39, 88, 127, 100, 122, 165, 254, 175, 0, 216, 173, 109, 177, 115, 136, 81, 97, 145, 108, 11, 62, 42, 225, 195, 103, 203, 259, 257, 117, 153, 107, 125, 134, 40, 106, 190, 162, 121, 217, 86, 188, 22])
Stream: id 162 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_4_3 | period 200.0| deadline 23.84 | size 1145| injection delay:0['node0_0_5_1', 'sw_0_5', 'sw_0_4', 'node0_0_4_3']['q6', 'q5']
Stream: id 36 | k_group 1 | q_n 3 | node0_0_5_4->node0_0_3_4 | period 200.0| deadline 23.92 | size 948| injection delay:0['node0_0_5_4', 'sw_0_5', 'sw_0_4', 'sw_0_3', 'node0_0_3_4']['q7', 'q6', 'q5']
Stream: id 101 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_5_2 | period 200.0| deadline 24.0 | size 473| injection delay:0['node0_0_5_1', 'sw_0_5', 'node0_0_5_2']['q7']
Stream: id 7 | k_group 1 | q_n 3 | node0_0_2_2->node0_0_3_0 | period 200.0| deadline 24.16 | size 440| injection delay:1['node0_0_2_2', 'sw_0_2', 'sw_0_3', 'node0_0_3_0']['q7', 'q6']
Stream: id 88 | k_group 1 | q_n 3 | node0_0_0_3->node0_0_4_3 | period 200.0| deadline 24.16 | size 555| injection delay:0['node0_0_0_3', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_3']['q7', 'q6', 'q5']
Stream: id 225 | k_group 1 | q_n 3 | node0_0_3_1->node0_0_3_2 | period 40.0| deadline 24.24 | size 1448| injection delay:0['node0_0_3_1', 'sw_0_3', 'node0_0_3_2']['q7']
Stream: id 227 | k_group 1 | q_n 3 | node0_0_2_0->node0_0_0_1 | period 200.0| deadline 24.28 | size 540| injection delay:0['node0_0_2_0', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'node0_0_0_1']['q7', 'q6', 'q5', 'q7', 'q6']
Stream: id 142 | k_group 1 | q_n 3 | node0_0_5_4->node0_0_3_2 | period 200.0| deadline 24.32 | size 1332| injection delay:0['node0_0_5_4', 'sw_0_5', 'sw_0_4', 'sw_0_3', 'node0_0_3_2']['q7', 'q6', 'q5']
Stream: id 240 | k_group 1 | q_n 3 | node0_0_2_2->node0_0_4_2 | period 40.0| deadline 24.36 | size 424| injection delay:0['node0_0_2_2', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_2']['q7', 'q6', 'q5']
Stream: id 1 | k_group 1 | q_n 3 | node0_0_5_4->node0_0_3_2 | period 100.0| deadline 24.4 | size 825| injection delay:0['node0_0_5_4', 'sw_0_5', 'sw_0_4', 'sw_0_3', 'node0_0_3_2']['q7', 'q6', 'q5']
Stream: id 243 | k_group 1 | q_n 3 | node0_0_0_3->node0_0_3_2 | period 100.0| deadline 24.56 | size 1474| injection delay:0['node0_0_0_3', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'sw_0_3', 'node0_0_3_2']['q7', 'q6', 'q5', 'q7']
Stream: id 149 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_4_3 | period 40.0| deadline 24.6 | size 793| injection delay:0['node0_0_5_1', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_3']['q6', 'q5', 'q7', 'q6', 'q5', 'q7']
Stream: id 11 | k_group 1 | q_n 3 | node0_0_5_0->node0_0_5_2 | period 40.0| deadline 24.64 | size 1433| injection delay:0['node0_0_5_0', 'sw_0_5', 'node0_0_5_2']['q7']
Stream: id 191 | k_group 1 | q_n 3 | node0_0_2_2->node0_0_3_2 | period 100.0| deadline 24.64 | size 507| injection delay:0['node0_0_2_2', 'sw_0_2', 'sw_0_3', 'node0_0_3_2']['q7', 'q6']
Stream: id 98 | k_group 1 | q_n 3 | node0_0_5_4->node0_0_2_4 | period 200.0| deadline 24.8 | size 240| injection delay:0['node0_0_5_4', 'sw_0_5', 'sw_0_4', 'sw_0_3', 'sw_0_2', 'node0_0_2_4']['q7', 'q6', 'q5', 'q7']
Stream: id 242 | k_group 1 | q_n 3 | node0_0_2_2->node0_0_4_0 | period 40.0| deadline 24.84 | size 1385| injection delay:0['node0_0_2_2', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_0']['q7', 'q6', 'q5']
Stream: id 123 | k_group 1 | q_n 3 | node0_0_5_0->node0_0_3_3 | period 200.0| deadline 24.92 | size 871| injection delay:0['node0_0_5_0', 'sw_0_5', 'sw_0_4', 'sw_0_3', 'node0_0_3_3']['q7', 'q6', 'q5']
Stream: id 203 | k_group 1 | q_n 3 | node0_0_4_1->node0_0_3_3 | period 100.0| deadline 24.92 | size 1182| injection delay:0['node0_0_4_1', 'sw_0_4', 'sw_0_3', 'node0_0_3_3']['q7', 'q5']
Stream: id 132 | k_group 1 | q_n 3 | node0_0_0_4->node0_0_5_3 | period 40.0| deadline 24.96 | size 1085| injection delay:0['node0_0_0_4', 'sw_0_0', 'sw_0_5', 'node0_0_5_3']['q7', 'q6']
Stream: id 77 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_4_3 | period 100.0| deadline 25.04 | size 779| injection delay:0['node0_0_5_1', 'sw_0_5', 'sw_0_4', 'node0_0_4_3']['q7', 'q5']
Stream: id 156 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_3_3 | period 200.0| deadline 25.08 | size 866| injection delay:0['node0_0_5_1', 'sw_0_5', 'sw_0_4', 'sw_0_3', 'node0_0_3_3']['q7', 'q6', 'q5']
Stream: id 100 | k_group 1 | q_n 3 | node0_0_2_2->node0_0_3_0 | period 200.0| deadline 25.2 | size 1419| injection delay:0['node0_0_2_2', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'sw_0_3', 'node0_0_3_0']['q7', 'q6', 'q5', 'q7', 'q6', 'q5']
Stream: id 153 | k_group 1 | q_n 3 | node0_0_3_1->node0_0_5_2 | period 40.0| deadline 25.24 | size 1070| injection delay:0['node0_0_3_1', 'sw_0_3', 'sw_0_4', 'sw_0_5', 'node0_0_5_2']['q7', 'q6', 'q5']
Stream: id 154 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_3_3 | period 100.0| deadline 25.48 | size 439| injection delay:0['node0_0_2_1', 'sw_0_2', 'sw_0_3', 'node0_0_3_3']['q7', 'q6']
Stream: id 22 | k_group 1 | q_n 3 | node0_0_2_2->node0_0_4_0 | period 200.0| deadline 25.6 | size 829| injection delay:1['node0_0_2_2', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_0']['q7', 'q6', 'q7', 'q6', 'q5']
