TC2 scheduled/num_streams 43/60 = 71.67%
k: 3 (100.0, '%', 'unscheduled', 0, 'total', 9, 'e2e too large', [], 'bandwidth violation', [])
 cycle_time: 200us bandwidth: 12500.0bytes k: 2 (100.0, '%', 'unscheduled', 0, 'total', 18, 'e2e too large', [], 'bandwidth violation', [])
 cycle_time: 40us bandwidth: 2500.0bytes k: 1 (48.0, '%', 'unscheduled', 17, 'total', 33, 'e2e too large', [], 'bandwidth violation', [0, 2, 1, 31, 4, 20, 13, 21, 34, 50, 10, 56, 25, 55, 8, 57, 39])
Stream: id 16 | k_group 1 | q_n 3 | node0_0_0_13->node0_0_0_12 | period 100.0| deadline 100.0 | size 398| injection delay:0['node0_0_0_13', 'sw_0_1', 'sw_0_0', 'sw_0_9', 'node0_0_0_12']['q6', 'q5', 'q7']
Stream: id 25 | k_group 1 | q_n 3 | node0_0_0_13->node0_0_0_11 | period 100.0| deadline 100.0 | size 897| injection delay:0['node0_0_0_13', 'sw_0_1', 'sw_0_0', 'sw_0_2', 'node0_0_0_11']['q7', 'q6', 'q5']
Stream: id 26 | k_group 1 | q_n 3 | node0_0_0_13->node0_0_0_11 | period 100.0| deadline 100.0 | size 141| injection delay:0['node0_0_0_13', 'sw_0_1', 'sw_0_7', 'sw_0_2', 'node0_0_0_11']['q6', 'q5', 'q7']
Stream: id 28 | k_group 1 | q_n 3 | node0_0_0_10->node0_0_0_11 | period 100.0| deadline 100.0 | size 369| injection delay:0['node0_0_0_10', 'sw_0_3', 'sw_0_0', 'sw_0_2', 'node0_0_0_11']['q7', 'q6', 'q5']
Stream: id 31 | k_group 1 | q_n 3 | node0_0_0_10->node0_0_0_12 | period 100.0| deadline 100.0 | size 1382| injection delay:0['node0_0_0_10', 'sw_0_3', 'sw_0_0', 'sw_0_9', 'node0_0_0_12']['q7', 'q6', 'q5']
Stream: id 40 | k_group 1 | q_n 3 | node0_0_0_10->node0_0_0_13 | period 100.0| deadline 100.0 | size 641| injection delay:0['node0_0_0_10', 'sw_0_3', 'sw_0_6', 'sw_0_0', 'sw_0_1', 'node0_0_0_13']['q7', 'q6', 'q5', 'q6']
Stream: id 43 | k_group 1 | q_n 3 | node0_0_0_10->node0_0_0_13 | period 100.0| deadline 100.0 | size 181| injection delay:0['node0_0_0_10', 'sw_0_3', 'sw_0_6', 'sw_0_0', 'sw_0_1', 'node0_0_0_13']['q6', 'q5', 'q6', 'q5']
Stream: id 44 | k_group 1 | q_n 3 | node0_0_0_10->node0_0_0_12 | period 100.0| deadline 100.0 | size 435| injection delay:0['node0_0_0_10', 'sw_0_3', 'sw_0_0', 'sw_0_9', 'node0_0_0_12']['q7', 'q6', 'q5']
Stream: id 46 | k_group 1 | q_n 3 | node0_0_0_10->node0_0_0_12 | period 100.0| deadline 100.0 | size 398| injection delay:0['node0_0_0_10', 'sw_0_3', 'sw_0_0', 'sw_0_4', 'sw_0_9', 'node0_0_0_12']['q6', 'q5', 'q7', 'q6']
Stream: id 55 | k_group 1 | q_n 3 | node0_0_0_13->node0_0_0_11 | period 100.0| deadline 100.0 | size 897| injection delay:0['node0_0_0_13', 'sw_0_1', 'sw_0_0', 'sw_0_2', 'node0_0_0_11']['q7', 'q6', 'q5']
Stream: id 56 | k_group 1 | q_n 3 | node0_0_0_13->node0_0_0_11 | period 100.0| deadline 100.0 | size 941| injection delay:0['node0_0_0_13', 'sw_0_1', 'sw_0_0', 'sw_0_2', 'node0_0_0_11']['q7', 'q6', 'q5']
Stream: id 58 | k_group 1 | q_n 3 | node0_0_0_13->node0_0_0_11 | period 100.0| deadline 100.0 | size 369| injection delay:0['node0_0_0_13', 'sw_0_1', 'sw_0_0', 'sw_0_2', 'node0_0_0_11']['q7', 'q6', 'q5']
